periodo_dia,zona_origem,zona_destino,qtd_fluxos,prob_destino_dado_origem
noite,3,1,163027,0.120232
tarde,3,1,246108,0.115156
madrugada,3,1,29762,0.114918
manha,3,1,175048,0.093136
manha,2,4,29111,0.082069
noite,4,2,51989,0.080726
madrugada,2,4,7080,0.079873
tarde,4,2,69830,0.073861
noite,2,4,18861,0.072623
tarde,2,4,22977,0.069664
madrugada,5,3,6476,0.057606
manha,4,3,44827,0.056837
manha,5,3,28398,0.043007
noite,1,5,43186,0.04086
madrugada,4,2,7158,0.040788
tarde,1,5,66575,0.04053
manha,1,3,53451,0.036921
tarde,5,3,24456,0.03453
madrugada,1,5,5798,0.033708
noite,5,3,17145,0.030844
